KODE PROVINSI,KODE KAB_KOTA,PROVINSI,KAB_KOTA,PAGU
07,07 61 ,SUMATERA UTARA,KOTA GUNUNG SITOLI,108411407000
08,08 00 ,SUMATERA BARAT,SUMATERA BARAT,10496276559000
08,08 01 ,SUMATERA BARAT,KAB. A G A M,290498249000
08,08 02 ,SUMATERA BARAT,KAB. PASAMAN,182160430000
08,08 03 ,SUMATERA BARAT,KAB. LIMA PULUH KOTA,356779797000
08,08 04 ,SUMATERA BARAT,KAB. S O L O K,241766003000
08,08 05 ,SUMATERA BARAT,KAB. PADANG PARIAMAN,372361490000
08,08 06 ,SUMATERA BARAT,KAB. PESISIR SELATAN,283267302000
08,08 07 ,SUMATERA BARAT,KAB. TANAH DATAR,443171628000
08,08 08 ,SUMATERA BARAT,KAB. SAWAHLUNTO,8363742000
08,08 09 ,SUMATERA BARAT,KAB. KEPULAUAN MENTAWAI,100176946000
08,08 10 ,SUMATERA BARAT,KAB. DHARMAS RAYA,133316329000
08,08 11 ,SUMATERA BARAT,KAB. SOLOK SELATAN,128299426000
08,08 12 ,SUMATERA BARAT,KAB. PASAMAN BARAT,206602456000
08,08 13 ,SUMATERA BARAT,KAB. SIJUNJUNG,85710377000
08,08 14 ,SUMATERA BARAT,KAB. SAWAHLUNTO SIJUNJUNG,58374262000
08,08 51 ,SUMATERA BARAT,KOTA BUKITTINGGI,516456191000
08,08 52 ,SUMATERA BARAT,KOTA PADANG PANJANG,311914250000
08,08 53 ,SUMATERA BARAT,KOTA S O L O K,120807861000
08,08 54 ,SUMATERA BARAT,KOTA SAWAHLUNTO,117176214000
08,08 55 ,SUMATERA BARAT,KOTA PADANG,6078102104000
08,08 56 ,SUMATERA BARAT,KOTA PAYAKUMBUH,203757898000
08,08 57 ,SUMATERA BARAT,KOTA PARIAMAN,215213604000
08,08 59 ,SUMATERA BARAT,KOTA PAINAN,42000000000
09,09 00 ,RIAU,RIAU,7863768708000
09,09 01 ,RIAU,KAB. KAMPAR,324804065000
09,09 02 ,RIAU,KAB. BENGKALIS,448386903000
09,09 04 ,RIAU,KAB. INDRAGIRI HULU,221894105000
09,09 05 ,RIAU,KAB. INDRAGIRI HILIR,358521616000
09,09 06 ,RIAU,KAB. PELALAWAN,181790089000
09,09 07 ,RIAU,KAB. ROKAN HULU,206667277000
09,09 08 ,RIAU,KAB. ROKAN HILIR,255158475000
09,09 09 ,RIAU,KAB. SIAK,256086244000
09,09 12 ,RIAU,KAB. KUANTAN SINGINGI,193817532000
09,09 13 ,RIAU,KAB. KEPULAUAN MERANTI,156764523000
09,09 51 ,RIAU,KOTA PEKANBARU,4884134149000
09,09 53 ,RIAU,KOTA DUMAI,351516193000
09,09 54 ,RIAU,KOTA RENGAT,4751638000
09,09 55 ,RIAU,OTORITA BATAM,19475899000
10,10 00 ,JAMBI,JAMBI,7512057549000
10,10 01 ,JAMBI,KAB. BATANGHARI,258779676000
10,10 02 ,JAMBI,KAB. TANJUNG JABUNG BARAT,190329637000
10,10 03 ,JAMBI,KAB. BUNGO,246973717000
10,10 04 ,JAMBI,KAB. SAROLANGUN,197257593000
10,10 05 ,JAMBI,KAB. KERINCI,402544221000
10,10 06 ,JAMBI,KAB. MERANGIN,227130689000
10,10 07 ,JAMBI,KAB. TANJUNG JABUNG TIMUR,190918189000
10,10 08 ,JAMBI,KAB. T E B O,181069971000
10,10 09 ,JAMBI,KAB. MUARO JAMBI,277227172000
10,10 51 ,JAMBI,KOTA JAMBI,5247730974000
10,10 52 ,JAMBI,KOTA SUNGAI PENUH,92095710000
11,11 00 ,SUMATERA SELATAN,SUMATERA SELATAN,16328811167000
11,11 03 ,SUMATERA SELATAN,KAB. MUSI BANYU ASIN,243186041000
11,11 04 ,SUMATERA SELATAN,KAB. OGAN KOMERING ULU,252808386000
11,11 05 ,SUMATERA SELATAN,KAB. MUARA ENIM,357425147000
11,11 06 ,SUMATERA SELATAN,KAB.LAHAT,267102369000
11,11 07 ,SUMATERA SELATAN,KAB. MUSI RAWAS,184616755000
11,11 08 ,SUMATERA SELATAN,KAB. OGAN KOMERING ILIR,291115883000
11,11 09 ,SUMATERA SELATAN,KAB. BANYUASIN,357564383000
11,11 10 ,SUMATERA SELATAN,KAB. OKU TIMUR,225536564000
11,11 11 ,SUMATERA SELATAN,KAB. OKU SELATAN,168030894000
11,11 12 ,SUMATERA SELATAN,KAB. OGAN ILIR,219919817000
11,11 16 ,SUMATERA SELATAN,KAB. BATU RAJA,58767610000
11,11 17 ,SUMATERA SELATAN,KAB. EMPAT LAWANG,115877891000
11,11 18 ,SUMATERA SELATAN,KAB. PENUKAL ABAB LEMATANG ILIR,85086934000
11,11 19 ,SUMATERA SELATAN,KAB. MUSI RAWAS UTARA,86130976000
11,11 51 ,SUMATERA SELATAN,KOTA PALEMBANG,12978270126000
11,11 53 ,SUMATERA SELATAN,KOTA PRABUMULIH,148197407000
11,11 54 ,SUMATERA SELATAN,KOTA PAGAR ALAM,109533576000
11,11 55 ,SUMATERA SELATAN,KOTA LUBUK LINGGAU,179640408000
12,12 00 ,LAMPUNG,LAMPUNG,8296352227000
12,12 01 ,LAMPUNG,KAB. LAMPUNG SELATAN,646548713000
12,12 02 ,LAMPUNG,KAB. LAMPUNG TENGAH,332681727000
12,12 03 ,LAMPUNG,KAB. LAMPUNG UTARA,290321547000
12,12 04 ,LAMPUNG,KAB. LAMPUNG BARAT,156326297000
12,12 05 ,LAMPUNG,KAB. TULANG BAWANG,164464488000
12,12 06 ,LAMPUNG,KAB. TANGGAMUS,266099335000
12,12 07 ,LAMPUNG,KAB. LAMPUNG TIMUR,358058179000
12,12 08 ,LAMPUNG,KAB. WAY KANAN,183919527000
12,12 09 ,LAMPUNG,KAB. PESAWARAN,212259386000
12,12 10 ,LAMPUNG,KAB. PRINGSEWU,171170243000
12,12 11 ,LAMPUNG,KAB. MESUJI,105954809000
12,12 12 ,LAMPUNG,KAB. TULANG BAWANG BARAT,118817490000
12,12 13 ,LAMPUNG,KAB. PESISIR BARAT,73145527000
12,12 51 ,LAMPUNG,KOTA BANDAR LAMPUNG,4949791575000
12,12 52 ,LAMPUNG,KOTA METRO,266793384000
13,13 00 ,KALIMANTAN BARAT,KALIMANTAN BARAT,8818659337000
13,13 01 ,KALIMANTAN BARAT,KAB. SAMBAS,356464995000
13,13 02 ,KALIMANTAN BARAT,KAB. SANGGAU,282685847000
13,13 03 ,KALIMANTAN BARAT,KAB. SINTANG,704197490000
13,13 04 ,KALIMANTAN BARAT,KAB. MEMPAWAH,351292128000
13,13 05 ,KALIMANTAN BARAT,KAB. KAPUAS HULU,349055491000
13,13 06 ,KALIMANTAN BARAT,KAB. KETAPANG,352389544000
13,13 07 ,KALIMANTAN BARAT,KAB. BENGKAYANG,166355694000
13,13 08 ,KALIMANTAN BARAT,KAB. LANDAK,170098828000
13,13 09 ,KALIMANTAN BARAT,KAB. MELAWI,131913436000
13,13 10 ,KALIMANTAN BARAT,KAB. SEKADAU,105220143000
13,13 11 ,KALIMANTAN BARAT,KAB. KAYONG UTARA,87762134000
13,13 12 ,KALIMANTAN BARAT,KAB. KUBU RAYA,238289775000
13,13 51 ,KALIMANTAN BARAT,KOTA PONTIANAK,5225030654000
13,13 52 ,KALIMANTAN BARAT,KOTA SINGKAWANG,297903178000
14,14 00 ,KALIMANTAN TENGAH,KALIMANTAN TENGAH,5453513408000
14,14 01 ,KALIMANTAN TENGAH,KAB. KAPUAS,258694230000
14,14 02 ,KALIMANTAN TENGAH,KAB. BARITO UTARA,156388607000
14,14 03 ,KALIMANTAN TENGAH,KAB. BARITO SELATAN,133758048000
14,14 04 ,KALIMANTAN TENGAH,KAB. KOTAWARINGIN TIMUR,380069517000
14,14 05 ,KALIMANTAN TENGAH,KAB. KOTAWARINGIN BARAT,280170925000
14,14 06 ,KALIMANTAN TENGAH,KAB. KATINGAN,138817367000
14,14 07 ,KALIMANTAN TENGAH,KAB. SERUYAN,124530042000
14,14 08 ,KALIMANTAN TENGAH,KAB. SUKAMARA,102467310000
14,14 09 ,KALIMANTAN TENGAH,KAB. LAMANDAU,98155469000
14,14 10 ,KALIMANTAN TENGAH,KAB. GUNUNG MAS,119260062000
14,14 11 ,KALIMANTAN TENGAH,KAB. PULANG PISAU,131292059000
14,14 12 ,KALIMANTAN TENGAH,KAB. MURUNG RAYA,98369514000
14,14 13 ,KALIMANTAN TENGAH,KAB. BARITO TIMUR,156812680000
14,14 51 ,KALIMANTAN TENGAH,KOTA PALANGKARAYA,3274727578000
15,15 00 ,KALIMANTAN SELATAN,KALIMANTAN SELATAN,7480424399000
15,15 01 ,KALIMANTAN SELATAN,KAB. BANJAR,368214238000
15,15 02 ,KALIMANTAN SELATAN,KAB. TANAH LAUT,334273577000
15,15 03 ,KALIMANTAN SELATAN,KAB. TAPIN,176842351000
15,15 04 ,KALIMANTAN SELATAN,KAB. HULU SUNGAI SELATAN,251764047000
15,15 05 ,KALIMANTAN SELATAN,KAB. HULU SUNGAI TENGAH,267569110000
15,15 06 ,KALIMANTAN SELATAN,KAB. BARITO KUALA,229097369000
15,15 07 ,KALIMANTAN SELATAN,KAB. TABALONG,252570899000
15,15 08 ,KALIMANTAN SELATAN,KAB. KOTABARU,315507100000
15,15 09 ,KALIMANTAN SELATAN,KAB. HULU SUNGAI UTARA,267125524000
15,15 10 ,KALIMANTAN SELATAN,KAB. TANAH BUMBU,219174109000
15,15 11 ,KALIMANTAN SELATAN,KAB. BALANGAN,145943312000
15,15 51 ,KALIMANTAN SELATAN,KOTA BANJARMASIN,3905836649000
15,15 52 ,KALIMANTAN SELATAN,KOTA BANJARBARU,746506114000
16,16 00 ,KALIMANTAN TIMUR,KALIMANTAN TIMUR,33960381456000
16,16 02 ,KALIMANTAN TIMUR,KAB. P A S E R,222143042000
16,16 04 ,KALIMANTAN TIMUR,KAB. B E R A U,293456546000
16,16 07 ,KALIMANTAN TIMUR,KAB. KUTAI BARAT,217569434000
16,16 08 ,KALIMANTAN TIMUR,KAB. KUTAI TIMUR,165141882000
16,16 09 ,KALIMANTAN TIMUR,KAB. PENAJAM PASER UTARA,19736105817000
16,16 10 ,KALIMANTAN TIMUR,KAB. KUTAI KERTANEGARA,318083004000
16,16 11 ,KALIMANTAN TIMUR,TENGGARONG,8067507000
16,16 13 ,KALIMANTAN TIMUR,KAB. MAHAKAM ULU,40970109000
16,16 51 ,KALIMANTAN TIMUR,KOTA SAMARINDA,10094959333000
16,16 52 ,KALIMANTAN TIMUR,KOTA BALIKPAPAN,2668004903000
16,16 53 ,KALIMANTAN TIMUR,KOTA TARAKAN (pindah ke 35.51),1750000000
16,16 54 ,KALIMANTAN TIMUR,KOTA BONTANG,194129879000
17,17 00 ,SULAWESI UTARA,SULAWESI UTARA,8491208061000
17,17 02 ,SULAWESI UTARA,KAB. MINAHASA,525065528000
17,17 03 ,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,262882017000
17,17 04 ,SULAWESI UTARA,KAB. KEPULAUAN SANGIHE,340557354000
17,17 05 ,SULAWESI UTARA,KAB. KEPULAUAN TALAUD,167553913000
17,17 06 ,SULAWESI UTARA,KAB. MINAHASA SELATAN,268174844000
17,17 08 ,SULAWESI UTARA,KAB. MINAHASA UTARA,162193748000
17,17 09 ,SULAWESI UTARA,KAB. KEP.SANGIHE TALAUD,110598563000
17,17 10 ,SULAWESI UTARA,KAB. MINAHASA TENGGARA,102694079000
17,17 11 ,SULAWESI UTARA,KAB. BOLAANG MONGONDOW UTARA,73478763000
17,17 12 ,SULAWESI UTARA,KAB. KEP. SIAU TAGULANDANG BIARO,68753624000
17,17 13 ,SULAWESI UTARA,KAB. BOLAANG MONGONDOW SELATAN,66420098000
17,17 14 ,SULAWESI UTARA,KAB. BOLAANG MONGONDOW TIMUR,85053579000
17,17 51 ,SULAWESI UTARA,KOTA MANADO,5546075382000
17,17 52 ,SULAWESI UTARA,KOTA TOMOHON,87265423000
17,17 53 ,SULAWESI UTARA,KOTA BITUNG,500454522000
17,17 54 ,SULAWESI UTARA,KOTA KOTAMOBAGO,123986624000
18,18 00 ,SULAWESI TENGAH,SULAWESI TENGAH,6755175694000
18,18 01 ,SULAWESI TENGAH,KAB. P O S O,325078100000
18,18 02 ,SULAWESI TENGAH,KAB. DONGGALA,196035867000
18,18 03 ,SULAWESI TENGAH,KAB. TOLI-TOLI,267484115000
18,18 04 ,SULAWESI TENGAH,KAB. BANGGAI,443160207000
18,18 05 ,SULAWESI TENGAH,KAB. B U O L,157303163000
18,18 06 ,SULAWESI TENGAH,KAB. MOROWALI,139990307000
18,18 07 ,SULAWESI TENGAH,KAB. BANGGAI KEPULAUAN,114033119000
18,18 08 ,SULAWESI TENGAH,KAB. PARIGI MOUTONG,251050230000
